Distributor,Size,robots.txt,sitemap.xml,Prices?
Safco Dental Supply,https://www.safcodental.com,200 https://www.safcodental.com/robots.txt,200 https://www.safcodental.com/sitemap.xml,Y
Pearson Dental,https://www.pearsondental.com,200 https://www.pearsondental.com/robots.txt,200 https://www.pearsondental.com/sitemap.xml,Y
Dental City,https://www.dentalcity.com,200 https://www.dentalcity.com/robots.txt,200 https://www.dentalcity.com/sitemap.xml,Y
Net32,https://www.net32.com,200 https://www.net32.com/robots.txt,403 https://www.net32.com/sitemap.xml,Y
DC Dental,https://www.dcdental.com,200 https://www.dcdental.com/robots.txt,404 https://www.dcdental.com/sitemap.xml,Y
American Dental Accessories,https://www.amerdental.com,200 https://www.amerdental.com/robots.txt,200 https://amerdental.com/sitemap.xml,Y
Carolina  Dental Supply,https://www.carolinadental.com,200 https://www.carolinadental.com/robots.txt,200 https://carolinadental.com/sitemap.xml,Y
Shasta Dental Supply,https://www.shastadentalsupply.com,200 https://www.shastadentalsupply.com/robots.txt,404 https://www.shastadentalsupply.com/sitemap.xml,Y
Sky Dental Supply,https://www.skydentalsupply.com,200 https://www.skydentalsupply.com/robots.txt,200 https://www.skydentalsupply.com/sitemap.xml,Y
Frontier Dental Supply,https://www.frontierdental.com,200 https://www.frontierdental.com/robots.txt,403 https://www.frontierdental.com/sitemap.xml,Y
Practicon,https://www.practicon.com,200 https://www.practicon.com/robots.txt,404 https://www.practicon.com/sitemap.xml,Y
Dental Planet,https://www.dentalplanet.com,200 https://www.dentalplanet.com/robots.txt,403 https://www.duraprohealth.com/sitemap.xml,Y
IDS Dental Supply,https://www.idsdental.com,200 https://www.idsdental.com/robots.txt,200 https://www.idsdental.com/sitemap.xml,Y
Dental Depot,https://www.dentaldepotinc.com,fetch failed https://www.dentaldepotinc.com/robots.txt,fetch failed https://www.dentaldepotinc.com/sitemap.xml,some; all requires login
Dental Savings Club,https://www.dentalsavingsclub.com,200 https://www.dentalsavingsclub.com/robots.txt,404 https://www.dentalsavingsclub.com/sitemap.xml,Y
Unimedusa,https://unimedusa.com/products/infection-control.html,200 https://unimedusa.com/robots.txt,200 https://unimedusa.com/sitemap.xml,Y
Young Specialties,https://www.youngspecialties.com,200 https://www.youngspecialties.com/robots.txt,200 https://www.youngspecialties.com/sitemap.xml,Y
Zirc Dental Products,https://www.zirc.com,200 https://www.zirc.com/robots.txt,200 https://zirc.com/sitemap.xml,Y
Parkell,https://www.parkell.com,200 https://www.parkell.com/robots.txt,404 https://www.parkell.com/sitemap.xml,Y
